StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q22,Q23,Q24,Q25,Q26,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your anonymous ID number.,What is your age?,Gender,Ethnicity,Financial Security,Poor people are different from the rest of society.,Poor people are dishonest.,Most poor people are dirty.,Poor people act differently.,Children raised on welfare will never amount to anything.,I believe poor people have a different set of values than other people have.,Poor people generally have lower intelligence than non-poor people.,There is a lot of fraud among welfare recipients.,"Some ""poor"" people live better than I do, considering all their benefits.",Poor people think they deserve to be supported.,Welfare mothers have babies to get more money.,An able-bodied person collecting welfare is ripping off the system.,Unemployed poor people could find jobs if they tried harder.,Welfare makes people lazy.,Benefits for poor people consume a major part of the federal budget.,People are poor due to circumstances beyond their control.,I would support a program that resulted in higher taxes to support social programs for poor people.,"If I were poor, I would accept welfare benefits.",Poor people should not be blamed for their misfortune.,Society has the responsibility of helping poor people.,Poor people are discriminated against.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}"
2025-09-17 12:17:50,2025-09-17 12:19:53,IP Address,38.114.122.175,100,122,True,2025-09-17 12:19:53,R_6oHeqUMBtum8Thd,,,,,32.7767,-96.805,qr,EN,1080,18-24 years old,Female,Caucasian,Somewhat secure,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree
2025-09-17 12:17:49,2025-09-17 12:19:54,IP Address,192.88.11.210,100,124,True,2025-09-17 12:19:55,R_3I0cb7HzcfOT9ux,,,,,32.3251,-95.2981,qr,EN,1096,18-24 years old,Female,Caucasian,Somewhat secure,Neutral,Disagree,Neutral,Agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2025-09-17 12:17:59,2025-09-17 12:19:57,IP Address,192.88.11.210,100,118,True,2025-09-17 12:19:58,R_1Rq2z42w6xH2OI1,,,,,32.3251,-95.2981,qr,EN,1083,18-24 years old,Female,African-Canadian/Black,Very secure,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-09-17 12:17:44,2025-09-17 12:20:03,IP Address,192.88.11.210,100,139,True,2025-09-17 12:20:03,R_5hhikEDDQyCR5K8,,,,,32.3251,-95.2981,qr,EN,1005,18-24 years old,Female,Caucasian,Secure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree
2025-09-17 12:18:38,2025-09-17 12:20:17,IP Address,192.88.11.210,100,98,True,2025-09-17 12:20:17,R_5pKIPxHd6C0HObM,,,,,32.3251,-95.2981,qr,EN,1019,18-24 years old,Non-binary / third gender,Caucasian,Somewhat insecure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree
2025-09-17 12:17:50,2025-09-17 12:20:20,IP Address,192.88.11.210,100,150,True,2025-09-17 12:20:21,R_6r60UFmpSyf9Ixp,,,,,32.3251,-95.2981,qr,EN,1053,25-34 years old,Male,Caucasian,Somewhat secure,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree
2025-09-17 12:17:48,2025-09-17 12:20:22,IP Address,192.88.11.210,100,153,True,2025-09-17 12:20:22,R_31z1gRzgEW5ZWY3,,,,,32.3251,-95.2981,qr,EN,1017,18-24 years old,Female,African-Canadian/Black,Very secure,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-09-17 12:17:43,2025-09-17 12:20:26,IP Address,192.88.11.210,100,162,True,2025-09-17 12:20:26,R_5n7M0Wx7grco14Z,,,,,32.3251,-95.2981,qr,EN,1032,18-24 years old,Female,Caucasian,Very insecure,Agree,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Agree
2025-09-17 12:17:48,2025-09-17 12:20:26,IP Address,192.88.11.210,100,157,True,2025-09-17 12:20:26,R_3FyuiuDaMVR99ld,,,,,32.3251,-95.2981,qr,EN,1081,18-24 years old,Female,Multiethnic,Somewhat secure,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree
2025-09-17 12:17:44,2025-09-17 12:20:32,IP Address,192.88.11.210,100,168,True,2025-09-17 12:20:33,R_5nUxSx11HHvLrZF,,,,,32.3251,-95.2981,qr,EN,1026,18-24 years old,Female,Caucasian,Very secure,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree
2025-09-17 12:17:52,2025-09-17 12:20:37,IP Address,192.88.11.210,100,165,True,2025-09-17 12:20:38,R_5rCFkAIyO0l1Zvz,,,,,32.3251,-95.2981,qr,EN,1082,18-24 years old,Female,Other,Somewhat secure,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
