StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q22,Q23,Q24,Q25,Q26,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your anonymous ID number.,What is your age?,Gender,Ethnicity,Financial Security,Poor people are different from the rest of society.,Poor people are dishonest.,Most poor people are dirty.,Poor people act differently.,Children raised on welfare will never amount to anything.,I believe poor people have a different set of values than other people have.,Poor people generally have lower intelligence than non-poor people.,There is a lot of fraud among welfare recipients.,"Some ""poor"" people live better than I do, considering all their benefits.",Poor people think they deserve to be supported.,Welfare mothers have babies to get more money.,An able-bodied person collecting welfare is ripping off the system.,Unemployed poor people could find jobs if they tried harder.,Welfare makes people lazy.,Benefits for poor people consume a major part of the federal budget.,People are poor due to circumstances beyond their control.,I would support a program that resulted in higher taxes to support social programs for poor people.,"If I were poor, I would accept welfare benefits.",Poor people should not be blamed for their misfortune.,Society has the responsibility of helping poor people.,Poor people are discriminated against.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}"
2025-09-17 12:17:50,2025-09-17 12:19:53,0,38.114.122.175,100,122,1,2025-09-17 12:19:53,R_6oHeqUMBtum8Thd,,,,,32.7767,-96.805,qr,EN,1080,4,2,1,3,4,4,4,3,5,4,5,4,3,4,5,4,4,3,4,2,2,2,2,2,1
2025-09-17 12:17:49,2025-09-17 12:19:54,0,192.88.11.210,100,124,1,2025-09-17 12:19:55,R_3I0cb7HzcfOT9ux,,,,,32.3251,-95.2981,qr,EN,1096,4,2,1,3,3,4,3,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2025-09-17 12:17:59,2025-09-17 12:19:57,0,192.88.11.210,100,118,1,2025-09-17 12:19:58,R_1Rq2z42w6xH2OI1,,,,,32.3251,-95.2981,qr,EN,1083,4,2,2,1,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,1,5,1,1,1,1
2025-09-17 12:17:44,2025-09-17 12:20:03,0,192.88.11.210,100,139,1,2025-09-17 12:20:03,R_5hhikEDDQyCR5K8,,,,,32.3251,-95.2981,qr,EN,1005,4,2,1,2,5,5,5,5,5,5,5,5,4,5,5,5,3,5,3,1,3,1,1,2,1
2025-09-17 12:18:38,2025-09-17 12:20:17,0,192.88.11.210,100,98,1,2025-09-17 12:20:17,R_5pKIPxHd6C0HObM,,,,,32.3251,-95.2981,qr,EN,1019,4,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1
2025-09-17 12:17:50,2025-09-17 12:20:20,0,192.88.11.210,100,150,1,2025-09-17 12:20:21,R_6r60UFmpSyf9Ixp,,,,,32.3251,-95.2981,qr,EN,1053,5,1,1,3,3,4,4,3,4,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2
2025-09-17 12:17:48,2025-09-17 12:20:22,0,192.88.11.210,100,153,1,2025-09-17 12:20:22,R_31z1gRzgEW5ZWY3,,,,,32.3251,-95.2981,qr,EN,1017,4,2,2,1,4,5,5,3,5,5,5,5,2,1,5,4,4,4,3,1,1,1,1,1,1
2025-09-17 12:17:43,2025-09-17 12:20:26,0,192.88.11.210,100,162,1,2025-09-17 12:20:26,R_5n7M0Wx7grco14Z,,,,,32.3251,-95.2981,qr,EN,1032,4,2,1,6,2,3,3,3,5,4,4,3,4,4,4,3,4,3,3,3,4,2,3,4,2
2025-09-17 12:17:48,2025-09-17 12:20:26,0,192.88.11.210,100,157,1,2025-09-17 12:20:26,R_3FyuiuDaMVR99ld,,,,,32.3251,-95.2981,qr,EN,1081,4,2,4,3,2,5,5,2,5,2,5,5,5,5,5,5,4,5,5,1,3,1,1,2,1
2025-09-17 12:17:44,2025-09-17 12:20:32,0,192.88.11.210,100,168,1,2025-09-17 12:20:33,R_5nUxSx11HHvLrZF,,,,,32.3251,-95.2981,qr,EN,1026,4,2,1,1,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4
2025-09-17 12:17:52,2025-09-17 12:20:37,0,192.88.11.210,100,165,1,2025-09-17 12:20:38,R_5rCFkAIyO0l1Zvz,,,,,32.3251,-95.2981,qr,EN,1082,4,2,8,3,3,5,5,5,5,2,5,4,5,4,5,4,4,5,5,1,2,1,1,2,1
2025-09-17 12:17:51,2025-09-17 12:20:38,0,192.88.11.210,100,167,1,2025-09-17 12:20:38,R_115kHgsQycwVZgr,,,,,32.3251,-95.2981,qr,EN,1004,5,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2025-09-17 12:17:47,2025-09-17 12:20:39,0,192.88.11.210,100,171,1,2025-09-17 12:20:39,R_30OtNpkgZvqd3t9,,,,,32.3251,-95.2981,qr,EN,1006,4,2,8,1,4,4,5,5,5,5,5,5,4,5,5,5,3,5,5,2,2,4,2,1,1
2025-09-17 12:17:50,2025-09-17 12:20:40,0,192.88.11.210,100,169,1,2025-09-17 12:20:40,R_6wKTFyu8Jw3WlsF,,,,,32.3251,-95.2981,qr,EN,1016,4,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2025-09-17 12:18:03,2025-09-17 12:20:41,0,146.75.165.41,100,158,1,2025-09-17 12:20:42,R_5fxHCD49YsNkDBk,,,,,32.3538,-95.3093,qr,EN,1072,4,2,1,2,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,3,4,3,1,1,1
2025-09-17 12:17:52,2025-09-17 12:20:43,0,192.88.11.210,100,171,1,2025-09-17 12:20:43,R_3dEVcx5otrnbRUu,,,,,32.3251,-95.2981,qr,EN,1067,4,1,1,1,2,3,3,2,4,2,3,2,4,2,2,2,1,1,3,4,5,1,3,5,1
2025-09-17 12:17:45,2025-09-17 12:20:43,0,192.88.11.210,100,178,1,2025-09-17 12:20:44,R_3rPN56p2dAnGlas,,,,,32.3251,-95.2981,qr,EN,1088,5,1,1,3,2,3,2,2,5,3,2,3,2,3,3,2,2,2,4,3,4,2,3,2,2
2025-09-17 12:17:55,2025-09-17 12:20:46,0,167.88.62.7,100,171,1,2025-09-17 12:20:46,R_1CIfXeMzafDRwoV,,,,,32.7797,-96.8022,qr,EN,1054,4,2,8,1,4,3,4,2,3,2,4,2,3,2,4,4,3,3,4,2,2,2,1,1,2
2025-09-17 12:17:48,2025-09-17 12:20:47,0,192.88.11.210,100,178,1,2025-09-17 12:20:47,R_3I3SAhpHvo93TmT,,,,,32.3251,-95.2981,qr,EN,1033,4,2,1,2,4,4,4,3,4,4,4,3,3,3,4,5,2,2,3,3,5,2,3,4,2
